en;it;es;fr
\nb[\n[1]]Everything looks so neat and tidy...;\nb[\n[1]]Com'è tutto ben pulito e tenuto in ordine...;;
The Castle's main gate is locked.;Il portone dell'ingresso principale del Castello è chiuso.;;
\nb[GUARD]Seize them!;\nb[GUARDIA]Prendeteli!;;
Don't go out there!;Non andate là fuori!;;
\nb[\n[5]]Come see what happened for yourselves!;\nb[\n[5]]Forza, andate a vedere cos'è successo!;;
\nb[\n[5]]Come to the \map[Throne Room] with me!;\nb[\n[5]]Venite, seguitemi alla \map[Throne Room]!;;
\nb[\n[5]]Come, hero!\.\. There's something I want to show you upstairs, something that will greatly aid you in acquiring Dindini!;\nb[\n[5]]Vieni, eroe!\.\. Prima di partire ti farò vedere una cosa al piano di sopra che potrà aiutarti a guadagnare tanti dindini!;;
Hey!\. You can't go out there!\. This way is barred!;Hey!\. Non potete andare là fuori!\. Non dovete uscire di qui!;;
Everyone...\| Everyone's dead!\.§ Our group here is everyone who's left!;Sono...\| Sono tutti morti!\.§ Gli unici sopravissuti siamo noi, qua!;;
We...\|We have no idea what happened! Something suddenly appeared and started slaughtering everyone at \map[Castle Grounds]!;Non...\| Non sappiamo bene cosa sia successo! È arrivato qualcosa, improvvisamente, e ha cominciato ad uccidere tutti i cittadini nel \map[Castle Grounds]!;;
Many ran away, the rest didn't make it...\.\.§ We took shelter in here!;Molti sono scappati, alcuni non ce l'hanno fatta...\.\.§ Noi ci siamo rifugiati qua dentro!;;
You can't go...\. It's dangerous!§ It...\| It will kill you!;Non potete andare...\. È pericoloso!§ Vi...\| Vi ucciderà!;;
\nb[\n[1]]Calm down, man!\|§ We're heroes, we'll set things right again!;\nb[\n[1]]Stai calmo, tranquillo!\|§ Noi siamo gli eroi, metteremo tutto a posto!;;
\nb[\n[5]]Please, heroes, get going and find out what is happening out there!;\nb[\n[5]]Sì, eroi, dovete uscire là fuori e capire cosa sta succedendo!;;
\nb[\n[5]]I'm too scared.\| I'll follow you when all is clear.;\nb[\n[5]]Io ho paura.\| Verrò dopo.;;
\nb[\n[1]]Weird...;\nb[\n[1]]Strano.;;
